Title,Character,Line
Cartman Gets an Anal Probe,Scene Description,At the bus stop.
Cartman Gets an Anal Probe,The Boys,"School days, school days, teacher's golden ru..."
Cartman Gets an Anal Probe,Kyle Broflovski,"Ah, damn it! My little brother's trying to follow me to school again."
Cartman Gets an Anal Probe,Ike,Eat banana.
Cartman Gets an Anal Probe,Kyle,"Ike, you can't come to school with me. [Ike Chortles.]"
Cartman Gets an Anal Probe,Eric Cartman,"Yeah, go home you little dildo!"
Cartman Gets an Anal Probe,Kyle,"Dude, don't call my brother a dildo!"
Cartman Gets an Anal Probe,Stan Marsh,What's a dildo?
Cartman Gets an Anal Probe,Kyle,"Well, I don't know...[He faces Cartman and points at him.] and I'll bet Cartman doesn't know either!"
Cartman Gets an Anal Probe,Cartman,I know what it means!
Cartman Gets an Anal Probe,Kyle,"Well, what?"
Cartman Gets an Anal Probe,Cartman,I'm not telling you.
Cartman Gets an Anal Probe,Stan,"What's a dildo, Kenny?"
Cartman Gets an Anal Probe,Kenny McCormick,(It's a plastic dick that goes in a vagina.) [The others laugh.]
Cartman Gets an Anal Probe,Cartman,"He-yeah, that's what Kyle's little brother is all right! [Kyle swings Ike by his feet, knocking Cartman down.] Ow! [Ike Laughs.]"
Cartman Gets an Anal Probe,Stan,"Dude, that kicks ass!"
Cartman Gets an Anal Probe,Kyle,"Yeah, check this one out. Ready Ike? Kick the baby!"
Cartman Gets an Anal Probe,Ike,Don't kick the baby.
Cartman Gets an Anal Probe,Kyle,Kick the baby.
Cartman Gets an Anal Probe,Scene Description,"He kicks Ike like a football, who lands, knocking down four mailboxes. Cartman yawns."
Cartman Gets an Anal Probe,Stan,"Whoa, Cartman! Looks like you didn't get much sleep last night."
Cartman Gets an Anal Probe,Cartman,That's 'cause I was having these... bogus nightmares.
Cartman Gets an Anal Probe,Kyle,Really? What about?
Cartman Gets an Anal Probe,Cartman,"Well, I dreamt that I was lying in my bed..."
Cartman Gets an Anal Probe,Scene Description,The dream sequence begins.
Cartman Gets an Anal Probe,Cartman,"...in the dark, when all of a sudden this bright blue light filled the room."
Cartman Gets an Anal Probe,Scene Description,"Through his window, one can see a spaceship land and its light stream in."
Cartman Gets an Anal Probe,Cartman,Then slowly my bedroom door began to open... [A Visitor peeks inside.]
Cartman Gets an Anal Probe,Cartman,"...and then the next thing I remember, I was being drug through a hallway."
Cartman Gets an Anal Probe,Cartman,Weeaak!
Cartman Gets an Anal Probe,Cartman,Then I was lying on a table...
Cartman Gets an Anal Probe,Scene Description,"Cartman is laying face down, Visitors lower his pajamas."
Cartman Gets an Anal Probe,Cartman,...and these scary aliens wanted to operate on me. And they had big heads and big black eyes.
Cartman Gets an Anal Probe,Stan,Dude! Visitors!
Cartman Gets an Anal Probe,Kyle,Totally!
Cartman Gets an Anal Probe,Cartman,What?
Cartman Gets an Anal Probe,Stan,"That wasn't a dream Cartman, those were Visitors!"
Cartman Gets an Anal Probe,Cartman,"No, it was just a dream, my mom said so."
Cartman Gets an Anal Probe,Stan,Visitors are real.
Cartman Gets an Anal Probe,Kyle,"Yeah, they abduct people and they mutilate cows."
Cartman Gets an Anal Probe,Cartman,"Oh, shut up guys! You're just trying to make me scared. And it's not working."
Cartman Gets an Anal Probe,"Jerome ""Chef"" McElroy","[Drives up and gets out of the car.] Hello there, children."
Cartman Gets an Anal Probe,Boys,"[in unison] Hey, Chef."
Cartman Gets an Anal Probe,Stan,"What's gonna be for lunch today, Chef?"
Cartman Gets an Anal Probe,Chef,"Well, today it's Salisbury steak with buttered noodles and a choice of green bean casserole or vegetable medley."
Cartman Gets an Anal Probe,Cartman,Kick ass.
Cartman Gets an Anal Probe,Chef,"Say, did any of you children see the alien space ship last night?"
Cartman Gets an Anal Probe,Cartman,[Surprised.] Huh?
Cartman Gets an Anal Probe,Kyle,"Yeah, fat boy saw it!"
Cartman Gets an Anal Probe,Cartman,"Eh, no, that, that was just a dream. And I'm not fat, I'm big boned!"
Cartman Gets an Anal Probe,Chef,"Oh, was it the ones with the big long heads and the black eyes?"
Cartman Gets an Anal Probe,Cartman,Oh!
Cartman Gets an Anal Probe,Stan,They took him on their ship.
