Title,Rating,Votes
Cartman Gets an Anal Probe,8.2,2673
Weight Gain 4000,7.9,2101
Volcano,7.9,2006
Big Gay Al's Big Gay Boat Ride,7.8,1935
An Elephant Makes Love to a Pig,7.7,1809
Death,8.2,1868
Pinkeye,8.5,1938
Starvin' Marvin,8.2,1870
"Mr. Hankey, the Christmas Poo",8.3,1889
Damien,8.1,1734
Tom's Rhinoplasty,8.1,1730
Mecha-Streisand,7.8,1780
Cartman's Mom is a Dirty Slut,8.7,2100
Terrance and Phillip in Not Without My Anus,6.6,1915
Cartman's Mom is Still a Dirty Slut,8.5,1814
Ike's Wee Wee,8.2,1673
Chickenlover,8.2,1696
Conjoined Fetus Lady,7.9,1580
The Mexican Staring Frog of Southern Sri Lanka,7.8,1567
City on the Edge of Forever (Flashbacks),7.6,1577
Summer Sucks,7.7,1484
Chef's Chocolate Salty Balls,7.8,1536
Chickenpox,8.1,1503
Roger Ebert Should Lay off the Fatty Foods,7.8,1477
Clubhouses,8.1,1456
Cow Days,7.8,1437
Chef Aid,8.0,1500
Spookyfish,8.6,1699
Merry Christmas Charlie Manson!,8.2,1535
Gnomes,8.5,1644
Prehistoric Ice Man,8.1,1506
Rainforest Shmainforest,8.5,1834
Spontaneous Combustion,8.3,1532
The Succubus,8.1,1578
Jakovasaurs,6.7,1575
Tweek vs. Craig,7.8,1511
Sexual Harassment Panda,8.4,1649
Cat Orgy,8.1,1514
Two Guys Naked in a Hot Tub,8.2,1466
Jewbilee,7.6,1381
Korn's Groovy Pirate Ghost Mystery,8.0,1595
Chinpokomon,8.8,1894
Hooked on Monkey Fonics,8.1,1402
Starvin' Marvin in Space,8.2,1411
The Red Badge of Gayness,8.4,1496
Mr. Hankey's Christmas Classics,7.4,1473
"Are You There God? It's Me, Jesus",8.0,1377
World Wide Recorder Concert,8.2,1369
The Tooth Fairy Tats 2000,8.3,1498
Cartman's Silly Hate Crime 2000,8.7,1623
Timmy 2000,8.3,1475
Quintuplets 2000,7.5,1361
Cartman Joins NAMBLA,9.0,2164
Cherokee Hair Tampons,8.2,1389
Chef Goes Nanners,8.3,1421
Something You Can Do with Your Finger,8.2,1462
Do the Handicapped Go to Hell?,8.4,1485
Probably,8.4,1404
Fourth Grade,8.2,1394
Trapper Keeper,8.2,1421
Helen Keller! The Musical,7.9,1337
Pip,7.0,1502
Fat Camp,8.6,1604
The Wacky Molestation Adventure,8.8,1776
A Very Crappy Christmas,7.6,1290
It Hits the Fan,8.5,1647
Cripple Fight,8.4,1580
Super Best Friends,8.4,1499
Scott Tenorman Must Die,9.6,5704
Terrance and Phillip: Behind the Blow,7.2,1370
Cartmanland,8.9,2139
Proper Condom Use,8.6,1617
Towelie,8.4,1765
Osama bin Laden Has Farty Pants,8.0,1631
How to Eat with Your Butt,8.1,1520
The Entity,8.3,1459
Here Comes the Neighborhood,8.2,1459
Kenny Dies,8.9,2068
Butters' Very Own Episode,8.9,2227
Jared Has Aides,8.2,1505
Asspen,8.4,1719
Freak Strike,8.1,1427
Fun with Veal,8.1,1414
The New Terrance and Phillip Movie Trailer,8.2,1577
Professor Chaos,8.6,1638
