Title,Sentiment,Profanities
Cartman Gets an Anal Probe,0.34,74
Weight Gain 4000,0.74,32
Volcano,0.36,25
Big Gay Al's Big Gay Boat Ride,0.6,34
An Elephant Makes Love to a Pig,0.04,50
Death,0.29,45
Pinkeye,0.44,61
Starvin' Marvin,0.39,26
"Mr. Hankey, the Christmas Poo",0.35,51
Damien,0.35,42
Tom's Rhinoplasty,0.65,29
Mecha-Streisand,0.42,44
Cartman's Mom is a Dirty Slut,0.47,34
Terrance and Phillip in Not Without My Anus,0.25,26
Cartman's Mom is Still a Dirty Slut,0.56,22
Ike's Wee Wee,0.22,37
Chickenlover,0.41,38
Conjoined Fetus Lady,0.53,35
The Mexican Staring Frog of Southern Sri Lanka,0.45,43
City on the Edge of Forever (Flashbacks),0.43,45
Summer Sucks,0.42,52
Chef's Chocolate Salty Balls,0.54,33
Chickenpox,0.49,64
Roger Ebert Should Lay off the Fatty Foods,0.5,31
Clubhouses,0.51,66
Cow Days,0.6,52
Chef Aid,0.57,27
Spookyfish,0.13,22
Merry Christmas Charlie Manson!,0.61,43
Gnomes,0.61,41
Prehistoric Ice Man,0.53,65
Rainforest Shmainforest,0.48,37
Spontaneous Combustion,0.52,38
The Succubus,0.49,59
Jakovasaurs,0.67,30
Tweek vs. Craig,0.61,47
Sexual Harassment Panda,0.81,82
Cat Orgy,0.61,35
Two Guys Naked in a Hot Tub,0.65,19
Jewbilee,0.51,21
Korn's Groovy Pirate Ghost Mystery,0.54,35
Chinpokomon,0.42,45
Hooked on Monkey Fonics,0.65,39
Starvin' Marvin in Space,0.69,26
The Red Badge of Gayness,0.65,48
Mr. Hankey's Christmas Classics,0.47,46
"Are You There God? It's Me, Jesus",0.59,26
World Wide Recorder Concert,0.57,70
The Tooth Fairy Tats 2000,0.42,36
Cartman's Silly Hate Crime 2000,0.32,55
Timmy 2000,0.61,22
Quintuplets 2000,0.59,38
Cartman Joins NAMBLA,0.45,79
Cherokee Hair Tampons,0.72,41
Chef Goes Nanners,0.75,70
Something You Can Do with Your Finger,0.51,70
Do the Handicapped Go to Hell?,0.52,27
Probably,0.44,29
Fourth Grade,0.46,34
Trapper Keeper,0.46,35
Helen Keller! The Musical,0.62,23
Pip,0.6,10
Fat Camp,0.48,52
The Wacky Molestation Adventure,0.28,32
A Very Crappy Christmas,0.55,27
It Hits the Fan,0.3,215
Cripple Fight,0.78,40
Super Best Friends,0.99,21
Scott Tenorman Must Die,0.58,99
Terrance and Phillip: Behind the Blow,0.77,39
Cartmanland,0.46,38
Proper Condom Use,0.69,118
Towelie,0.1,22
Osama bin Laden Has Farty Pants,0.25,68
How to Eat with Your Butt,0.68,28
The Entity,0.5,26
Here Comes the Neighborhood,0.8,16
Kenny Dies,0.66,13
Butters' Very Own Episode,0.48,30
Jared Has Aides,0.6,35
Asspen,0.98,15
Freak Strike,0.61,44
Fun with Veal,0.41,33
The New Terrance and Phillip Movie Trailer,0.45,26
Professor Chaos,0.74,8
The Simpsons Already Did It,0.56,32
Red Hot Catholic Love,0.5,43
Free Hat,0.73,21
Bebe's Boobs Destroy Society,0.56,45
Child Abduction is Not Funny,0.69,29
A Ladder to Heaven,0.46,29
The Return of the Fellowship of the Ring to the Two Towers,0.47,61
The Death Camp of Tolerance,0.6,46
The Biggest Douche in the Universe,0.78,50
My Future Self n' Me,0.46,54
Red Sleigh Down,0.74,16
Cancelled,0.5,66
Krazy Kripples,0.61,25
Toilet Paper,0.28,17
I'm a Little Bit Country,0.53,23
Fat Butt and Pancake Head,0.73,33
Lil' Crime Stoppers,0.61,46
Red Man's Greed,0.51,17
South Park is Gay!,0.72,17
Christian Rock Hard,0.73,30
Grey Dawn,0.39,19
Casa Bonita,0.77,20
All About Mormons,0.82,25
Butt Out,0.57,21
Raisins,0.85,25
It's Christmas in Canada,0.68,29
Good Times with Weapons,0.33,39
Up the Down Steroid,0.87,33
The Passion of the Jew,0.53,54
You Got F'd in the A,0.72,17
AWESOM-O,0.82,30
The Jeffersons,0.68,19
Goobacks,0.47,35
Douche and Turd,0.65,80
Something Wall-Mart This Way Comes,0.4,17
Pre-School,0.43,31
Quest for Ratings,0.82,29
Stupid Spoiled Whore Video Playset,0.46,73
Cartman's Incredible Gift,0.49,16
Woodland Critter Christmas,0.46,13
Mr. Garrison's Fancy New Vagina,0.65,50
"Die Hippie, Die",0.38,15
Wing,0.95,20
Best Friends Forever,0.52,16
The Losing Edge,0.61,32
The Death of Eric Cartman,0.32,20
Erection Day,0.82,64
Two Days Before the Day After Tomorrow,0.35,14
Marjorine,0.51,9
Follow That Egg!,0.88,34
Ginger Kids,0.61,17
Trapped in the Closet,0.54,7
Free Willzyx,0.55,16
Bloody Mary,0.4,22
The Return of Chef,0.71,50
Smug Alert!,0.74,12
Cartoon Wars Part I,0.33,18
Cartoon Wars Part II,0.41,26
A Million Little Fibers,0.56,26
ManBearPig,0.5,29
Tsst,0.66,26
"Make Love, Not Warcraft",0.38,28
Mystery of the Urinal Deuce,0.21,30
Miss Teacher Bangs a Boy,0.51,36
Hell on Earth 2006,0.47,48
Go God Go,0.55,37
Go God Go XII,0.52,36
Stanley's Cup,0.51,5
With Apologies to Jesse Jackson,0.61,29
Cartman Sucks,0.53,31
Lice Capades,0.48,16
The Snuke,0.56,6
Fantastic Easter Special,0.31,9
D-Yikes!,0.72,49
Night of the Living Homeless,0.72,19
Le Petit Tourette,0.57,113
More Crap,0.13,79
Imaginationland,0.39,36
"Imaginationland, Episode II",0.4,24
"Imaginationland, Episode III",0.56,26
Guitar Queer-O,0.46,37
The List,0.48,18
Tonsil Trouble,0.47,30
Britney's New Look,0.49,26
Major Boobage,0.45,30
Canada on Strike,0.76,21
"Eek, A Penis!",0.66,64
Over Logging,0.48,31
Super Fun Time,0.53,21
The China Probrem,0.45,47
Breast Cancer Show Ever,0.36,46
Pandemic,0.39,19
Pandemic 2: The Startling,0.46,8
About Last Night...,0.58,25
Elementary School Musical,0.64,16
The Ungroundable,0.49,17
The Ring,0.69,61
The Coon,0.34,40
Margaritaville,0.45,9
"Eat, Pray, Queef",0.39,85
Fishsticks,0.87,42
Pinewood Derby,0.48,9
Fatbeard,0.52,32
Dead Celebrities,0.25,26
Butters' Bottom Bitch,0.84,115
W.T.F.,0.6,37
Whale Whores,0.49,37
The F Word,0.7,103
Dances with Smurfs,0.55,31
Pee,0.53,15
Sexual Healing,0.39,85
The Tale of Scrotie McBoogerballs,0.45,34
Medicinal Fried Chicken,0.35,54
You Have 0 Friends,0.63,34
200,0.53,35
201,0.53,21
Crippled Summer,0.47,45
Poor and Stupid,0.16,54
It's a Jersey Thing,0.19,68
Insheeption,0.37,15
Coon 2: Hindsight,0.43,21
Mysterion Rises,0.09,31
Coon vs. Coon & Friends,0.2,38
Crème Fraiche,0.69,44
HUMANCENTiPAD,0.45,51
Funnybot,0.67,23
Royal Pudding,0.26,42
T.M.I.,0.03,114
Crack Baby Athletic Association,0.6,21
City Sushi,0.34,41
You're Getting Old,0.46,80
Ass Burgers,0.43,45
The Last of the Meheecans,0.41,27
Bass to Mouth,0.41,20
Broadway Bro Down,0.72,80
1%,0.5,30
A History Channel Thanksgiving,0.44,9
The Poor Kid,0.47,37
Reverse Cowgirl,0.0,30
Cash For Gold,0.5,40
Faith Hilling,0.42,18
Jewpacabra,0.31,6
Butterballs,0.25,27
I Should Have Never Gone Ziplining,0.27,44
Cartman Finds Love,0.66,19
Sarcastaball,1.0,25
Raising the Bar,0.29,41
Insecurity,0.55,66
Going Native,0.51,43
A Nightmare on Face Time,0.52,28
A Scause For Applause,0.55,26
Obama Wins!,0.5,30
"Let Go, Let Gov",0.48,46
Informative Murder Porn,0.37,69
World War Zimmerman,0.57,20
Goth Kids 3: Dawn of the Posers,0.18,35
Taming Strange,0.42,37
Ginger Cow,0.77,24
Black Friday,0.66,29
A Song of Ass and Fire,0.48,56
Titties and Dragons,0.64,37
The Hobbit,0.73,31
Go Fund Yourself,0.57,102
Gluten Free Ebola,0.7,34
The Cissy,0.66,30
Handicar,0.59,42
The Magic Bush,0.45,26
Freemium Isn't Free,0.21,40
Grounded Vindaloop,0.46,35
Cock Magic,0.56,69
#REHASH,0.56,32
#HappyHolograms,0.72,38
Stunning and Brave,0.38,50
Where My Country Gone?,0.52,49
The City Part of Town,0.79,35
You're Not Yelping,0.72,63
Safe Space,0.94,36
Tweek x Craig,0.66,42
Naughty Ninjas,0.37,29
Sponsored Content,0.38,44
Truth and Advertising,0.28,44
PC Principal Final Justice,0.63,26
Member Berries,0.48,53
Skank Hunt,0.5,17
The Damned,0.41,36
Wieners Out,0.47,58
Douche and a Danish,0.45,57
Fort Collins,0.43,45
"Oh, Jeez",0.6,36
Members Only,0.51,41
Not Funny,0.15,65
The End of Serialization as We Know It,0.38,56
White People Renovating Houses,0.53,38
Put It Down,0.41,23
Holiday Special,0.65,32
Franchise Prequel,0.51,25
Hummels & Heroin,0.43,38
Sons A Witches,0.49,13
Doubling Down,0.45,40
Moss Piglets,0.98,42
SUPER HARD PCness,0.73,17
Splatty Tomato,0.53,19
Dead Kids,0.19,20
A Boy And A Priest,0.47,19
The Problem with a Poo,0.61,27
Tegridy Farms,0.32,59
The Scoots,0.68,22
Time To Get Cereal,0.41,26
Nobody Got Cereal?,0.34,29
Buddha Box,0.35,32
Unfulfilled,0.29,14
Bike Parade,0.3,37
Mexican Joker,0.41,31
Band in China,0.55,23
Shots!!!,0.53,16
Let Them Eat Goo,0.65,21
Tegridy Farms Halloween Special,0.73,33
Season Finale,0.39,33
Board Girls,0.92,17
Turd Burglars,0.58,54
Basic Cable,0.71,42
Christmas Snow,0.53,60
The Pandemic Special,0.62,76
South ParQ Vaccination Special,0.46,84
Pajama Day,0.29,32
The Big Fix,0.49,42
City People,0.75,32
Back To The Cold War,0.38,17
"Help, My Teenager Hates Me!",0.6,39
Credigree Weed St. Patrick's Day Special,0.76,36
Cupid Ye,0.55,27
The Worldwide Privacy Tour,0.57,19
Japanese Toilet,0.49,20
Deep Learning,0.72,22
DikinBaus Hot Dogs,0.69,15
Spring Break,0.73,17
